Nr,Name,country,Political_group,Party,Institution,mandate,post_mandate_activities,category_pie,category_bar,Brussels_lobbying,Number_activities,Link_source,Link_profile,On_JTR,Link_JTR,Comments,party2,Description,Paid or unpaid (a blank entry means it is not clear),Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents"
115,Connie Hedegaard,Denmark,EPP,Conservative People's Party,European Commission,Commissioner for Climate action,Co-chair of the ‘R 20’ initiative ,Private Sector ,Business association ,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,No,,,,"provided that she refrained from lobbying the Commission and its departments, should any of these organisations ask for financial support from the European Union ",unpaid,,,16/12/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1691/response/6133/attach/4/annexes.Democratic Partyf
116,Connie Hedegaard,Denmark,EPP,Conservative People's Party,European Commission,Commissioner for Climate action,Chair of the Danish Ministry of Culture’s Public Service Committee ,Public Service,Public sector,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,No,,,,"provided that she refrained from lobbying the Commission and its departments, should any of these organisations ask for financial support from the European Union ",,,,16/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1691/response/6133/attach/4/annexes.Democratic Partyf
117,Connie Hedegaard,Denmark,EPP,Conservative People's Party,European Commission,Commissioner for Climate action,Chair of the Board of Århus University,Academia,University,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,,No,,,,"provided that she refrained from lobbying the Commission and its departments, should any of these organisations ask for financial support from the European Union ",,,,16/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1691/response/6133/attach/4/annexes.Democratic Partyf
118,Connie Hedegaard,Denmark,EPP,Conservative People's Party,European Commission,Commissioner for Climate action,Energy Ambassador for the Municipality of Funen,Public Service,Public sector,No,,http://energiwatch.dk/secure/Energinyt/Politik___Markeder/article9289044.ece,,No,,,,,,,,,,,
118,Catherine Ashton,UK,S&D,Labour Party,European Commission,High Representative of the Union for Foreign Affairs and Security Policy,A Member of the House of Lords,Public Service,Elected office,No,4,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.PDF,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Catherine_Ashton%2C_Head_of_the_European_Defence_Agency%2C_High_Representative_of_the_Union_for_Foreign_Affairs_and_Security_Policy_%26_Vice-President_of_the_European_Commission_%2813468295505%29.jpg/330px-thumbnail.jpg,No,,,,No authorisation required,unpaid,,,- ,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1948/response/7004/attach/3/annexes.Democratic Partyf
120,Catherine Ashton,UK,S&D,Labour Party,European Commission,High Representative of the Union for Foreign Affairs and Security Policy,Member of Inter Mediate ,Academia,Think tank,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2138-EN-F1-1.PDF,,No,,,,"providing Baroness ASHTON scrupulously fulfilled her obligations of discretion and collective responsibility and confidentiality under Articles 245 and 339 TFEU and section 1.7 of the Code of Conduct for Commissioners, and that she refrained from lobbying the Commission and/or its departments for 18 months after leaving the Commission with regard to any request Inter Mediatemight make in order to gain support from the European Union. ",unpaid,,,16/9/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2138-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/2292/response/8155/attach/2/2015%205054.Democratic Partyf
121,Catherine Ashton,UK,S&D,Labour Party,European Commission,High Representative of the Union for Foreign Affairs and Security Policy,Visiting Fellow at the University of Yale (New Haven) ,Academia,University,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.PDF,,No,,,,provided that Baroness ASHTON took care to fulfil her obligations under Articles 245 and 339 of the TFEU and Section 1.7 of the Code of Conduct for Commissioners to behave with discretion and protect collective responsibility and confidentiality; ,unpaid,,,15/4/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1948/response/7004/attach/3/annexes.Democratic Partyf
122,Catherine Ashton,UK,S&D,Labour Party,European Commission,High Representative of the Union for Foreign Affairs and Security Policy,Visiting Professor at King's College (London) in particular in the field of foreign affairs ,Academia,University,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.PDF,,No,,,,provided that Baroness ASHTON took care to fulfil her obligations under Articles 245 and 339 of the TFEU and Section 1.7 of the Code of Conduct for Commissioners to behave with discretion and protect collective responsibility and confidentiality; ,unpaid,,,15/4/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1948/response/7004/attach/3/annexes.Democratic Partyf
124,Antonio Tajani,Italy,EPP,Forza Italia - Forward Italy,European Commission,Commissioner for Industry and Entrepreneurship,MEP,Public Service,Elected office,No,1,http://www.europarl.europa.eu/meps/en/2187/ANTONIO_TAJANI_home.html,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Members_of_the_Presidency_%289290654981%29.jpg/330px-Members_of_the_Presidency_%289290654981%29.jpg,No,,,,No authorisation required,paid  ,,,- ,no,http://www.europarl.europa.eu/meps/en/2187/ANTONIO_TAJANI_home.html,
125,Androulla Vassiliou,Cyprus,ALDE,United Democrats,European Commission,"Commissioner for Education, Culture, Multilingualism and Youth",Representative of the Republic of Cyprus on the High Council of the European University Institute,Academia,University,No,4,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.PDF,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Androulla_Vassiliou2.jpg/330px-Androulla_Vassiliou2.jpg,No,,,,,unpaid,,,18/3/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/2136/response/7678/attach/3/Annexes.Democratic Partyf + http://www.asktheeu.org/en/request/2136/response/7678/attach/4/annexes.Democratic Partyf
126,Androulla Vassiliou,Cyprus,ALDE,United Democrats,European Commission,"Commissioner for Education, Culture, Multilingualism and Youth",Member of the Board of Trustees of Friends of Europe,Academia,Think tank,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2113-EN-F1-1.PDF,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=99436366768-45,,,"provided that Ms VASSILIOU refrained from lobbying the Commission and its departments for eighteen months after leaving the Commission should Friends of Europe decide to become involved in specific projects linked to education, culture, multilingualism and youth and ask for financial support from the European Union. ",unpaid,,,28/1/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2113-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1786/response/6585/attach/2/annexes.Democratic Partyf
127,Androulla Vassiliou,Cyprus,ALDE,United Democrats,European Commission,"Commissioner for Education, Culture, Multilingualism and Youth",President of the Board of Trustees of the Bank of Cyprus Oncology Centre,Public Service,Public sector,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2113-EN-F1-1.PdF,,No,,,,,unpaid,,,28/1/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2113-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1786/response/6585/attach/2/annexes.Democratic Partyf
128,Androulla Vassiliou,Cyprus,ALDE,United Democrats,European Commission,"Commissioner for Education, Culture, Multilingualism and Youth",Member of the Board of Trustees of the Cyprus Research and Educational Foundation,Academia,Think tank,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.PDF,,No,,,,"provided that Ms VASSILIOU refrained from lobbying the Commission and/or its departments for 18 months after leaving office, should the Cyprus Institute and/or the Cyprus Research and Educational Foundation decide to apply for financial support from the European Union ",unpaid,,,18/3/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/2136/response/7678/attach/3/Annexes.Democratic Partyf + http://www.asktheeu.org/en/request/2136/response/7678/attach/4/annexes.Democratic Partyf
129,Andris Piebalgs,Latvia,NI ,Independent,European Commission,Commissioner for Development,President of the Unity Party in Latvia ,Public Service,Political party,No,6,http://www.vienotiba.lv/andris_piebalgs,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Andris_Piebalgs-IMG_3681.jpg/300px-Andris_Piebalgs-IMG_3681.jpg,No,,,,,,,,,,http://www.vienotiba.lv/par-mums/vienotibas-valde/,
130,Andris Piebalgs,Latvia,NI ,Independent,European Commission,Commissioner for Development,Research Fellow at the Florence School of Regulation of the European University Institute ,Academia,University,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2130-EN-F1-1.PDF,,No,,,,provided Mr PIEBALGS fulfilled his obligations of discretion and collective responsibility and confidentiality under Articles 245 and 339 of the TFEU and Section 1.7 of the Code of Conduct for Commissioners. ,,,,9/6/2015,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2130-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/2067/response/7281/attach/2/annexes.Democratic Partyf
131,Andris Piebalgs,Latvia,NI ,Independent,European Commission,Commissioner for Development,Member of the Friends of the Global Fund Europe ,Private Sector,Company and Group,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Pdf,,No,,,,,unpaid,,,10/12/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1549/response/5975/attach/5/annex%20v.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/7/annex%20iv.Democratic Partyf
132,Andris Piebalgs,Latvia,NI ,Independent,European Commission,Commissioner for Development,Member of the Board of Trustees of Friends of Europe ,Academia,Think tank,Yes,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2113-EN-F1-1.PdF,,Yes,http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=99436366768-45,,,provided that Mr PIEBALGS refrained from lobbying the Commission and its departments for eighteen months after leaving the Commission should Friends of Europe decide to become involved in specific projects linked to development and ask for financial support from the European Union ,,,,28/1/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2113-EN-F1-1.Democratic PartyF,http://www.asktheeu.org/en/request/1792/response/6592/attach/3/annexes%203.Democratic Partyf 
133,Andris Piebalgs,Latvia,NI ,Independent,European Commission,Commissioner for Development,Adviser to the President of Latvia ,Public Service,Public sector,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2111-EN-F1-1.Pdf,,No,,,,,,,,13/1/2015,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2111-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1792/response/6592/attach/3/annexes%203.Democratic Partyf
134,Andris Piebalgs,Latvia,NI ,Independent,European Commission,Commissioner for Development,Visiting Professor at the University of Latvia,Academia,University,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Pdf,,No,,,,,,,,10/12/2014,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1549/response/5975/attach/5/annex%20v.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/7/annex%20iv.Democratic Partyf
135,Algirdas Šemeta,Lithuania,EPP,Homeland Union,European Commission,Commissioner for Taxation and customs union,"Business Ombudsman, a position created by the Memorandum of Understanding of the Anti-Corruption Initiative for Ukraine ",Public Service,Public sector,No,1,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2107-EN-F1-1.Pdf,https://upload.wikimedia.org/wikipedia/commons/7/78/Algirdas_%C5%A0emeta.jpg,No,,,,,,,,25/11/2014,yes,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2107-EN-F1-1.Democratic Partyf,http://www.asktheeu.org/en/request/1549/response/5975/attach/8/annex%20iv.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.Democratic Partyf + http://www.asktheeu.org/en/request/1549/response/6127/attach/7/annex%20iv.Democratic Partyf
136,Jonathan Hill,UK,ECR,Conservative,European Commission,"Commissioner for Financial Stability, Financial Services and Capital Markets Union",Returning to House of Lords,Public Service,Elected office,No,2,http://www.parliament.uk/biographies/lords/lord-hill-of-oareford/4144,https://upload.wikimedia.org/wikipedia/commons/3/3e/Jonathan_Hopkin_Hill%2C_Baron_Hill_of_Oareford.jpg,No,,,,,,,,,,,
137,Jonathan Hill,UK,ECR,Conservative,European Commission,"Commissioner for Financial Stability, Financial Services and Capital Markets Union",Speaker for Chartwell Speakers,Private Sector,Self-employed,No,,http://ec.europa.eu/transparency/regdoc/rep/10061/2016/EN/10061-2016-2183-EN-F1-1.PDF,,No,,,,"provided that Lord Hill complied with his obligations,  under  Article  245  and  Article  339  TFEU  and  the  Code  of  Conduct  for  Commissioners,  to  protect  collective  responsibility  and  the  confidentiality of matters dealt with by the Commission during his term of office  as  a  Member  of  the  Commission,  and  that  he  refrained  from  any  engagement that could conflict with these obligations; ",,,,28/9/2016,no,http://ec.europa.eu/transparency/regdoc/rep/10061/2016/EN/10061-2016-2183-EN-F1-1.Democratic PartyF,https://www.asktheeu.org/en/request/new_roles_of_commissioner_hill
23788,Adam Bielan,Poland,ECR,Law and Justice,European parliament,MEP,Deputy Speaker of the Polish Senate ,Public Service,Elected office,no,,"http://www.senat.gov.pl/en/senators/lista-senatorow/senator,896,9,adam-bielan.html",,No,,,PiS,,,,,,,,
