Nr ,Name,Country,Political_group,Party,Institution,mandate,post_mandate_activities,category_pie ,category_bar,Brussels_lobbying,Number of Activities,Link_source,pre_mandate_activity orginal,pre_mandate_activity,Category pie,category_bar2,Link_DOI,Link_profile,party2,Description ,Paid_unpaid,Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents"
96874,Alexandra THEIN,Germany,ALDE,Free Democratic Party,European Parliament,MEP,Lawyer and Notary,Private sector,Law firms,no,,https://www.linkedin.com/in/alexandra-thein-5649b921,Rechtsanwältin und NotarinLandesvorstand FDP BerlinOrtsvorsitzende FDP DahlemRechtsanwältin und Notarin1Stellvertretende Vorsitzender Liberaler Mittelstand BerlinBeisitzerin FDP Ortsvorstand DahlemKooptiertes Vorstandsmitglied Europa Union BerlinBeiratsvorsitzende Deutsch-Arabische GesellschaftMitglied im Berliner Anwaltsverein e.V.,"Attorney-at-law and Notary, Head of FDP Berlin representative of FDP .",Private sector,Self-employed,http://www.europarl.europa.eu/ep-dif/96874_15-11-2012.pdf,,,,,,,,,,
96678,Alf SVENSSON,Sweden,EPP,Christian Democrats,European Parliament,MEP,Board of Directors of the family first foundation ,NGOs,NGOs,no,,http://www.familjenforst.nu/styrelsen/,,"Employee for Modern Insurances ltd., member of the star for life NGO",Private sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/96678_26-01-2012.pdf,,,Focussed on defending the family as a fundament in Swedish  culture. ,,,,,,,
28422,Alfredo ANTONIOZZI,Italy,EPP,Forza Italia ,European Parliament,MEP,Member of the Board of directors of ENEL since May 2015,Private Sector,Companies and Groups,no,,https://goo.gl/p66nOL,Assessore Ente Roma CapitaleAssessore Ente Roma Capitale0000,Municipal Councilor of the city of Rome ,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/28422_15-02-2012.pdf,,,Member of the Board of Directors for Enel,,,,,,,
97197,Alfredo PALLONE,Italy,EPP,New Centre Right,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,,Regional Coucilor ,Elected office and public sector,Public sector,http://www.europarl.europa.eu/ep-dif/97197_19-03-2012.pdf,,,,,,,,,,
96988,Alfreds RUBIKS,Latvia,GUE/NGL,Communist Party of Latvia,European Parliament,MEP,Failed to get re-elected in 2014. Most likely retired (born in 1935),Others,Retired,no,,https://en.wikipedia.org/wiki/Alfr%C4%93ds_Rubiks,,Journalist,Private sector,Media,http://www.europarl.europa.eu/ep-dif/96988_28-02-2012.pdf,,,,,,,,,,
4423,Amalia SARTORI,Italy,EPP,Forza Italia,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,https://it.wikipedia.org/wiki/Amalia_Sartori,Deputato al parlamento europeo3Gemmo Malta3Gruppo save2CIS - SPA - Compagnia investimenti e servizzo?00Gruppo save - save spa20000,"MEP, investment company save-spa",Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/4423_28-02-2012_Rev2.pdf,,,Was emboilled in judicial proceedings for illegal financing. Most likely retired ,,,,,,,
108570,Amelia ANDERSDOTTER,Sweden,Greens/EFA,Pirate Party,European Parliament,MEP,Chairman of dataskydd (NGOs fighting for dataprotection),NGOs,NGOs,yes ,2,https://www.facebook.com/aandersdotter/about?section=education&pnref=about,0,Farmer,Private sector,Self-employed,http://www.europarl.europa.eu/ep-dif/108570_28-02-2012.pdf,,,Registered in the TR but does not seem to lobby in the EU ,,,,,,,
108570,Amelia ANDERSDOTTER,Sweden,Greens/EFA,Pirate Party,European Parliament,MEP,Advisory member of Internet Governance Forum (U.N.,Elected office & public sector,Public sector,no,,,0,Farmer,Private sector,Self-employed,http://www.europarl.europa.eu/ep-dif/108570_28-02-2012.pdf,,,,,,,,,,
24942,Ana Maria MIRANDA PAZ,Spain,Greens/EFA,Galician Nationalist Bloc,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/24942_11-01-2012.pdf,,BNG,Confirmed,,,,,,,
96719,Andrea CEŠKOVÁ,Czech Republic,ECR,Civic Democratic Party,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,,Lawyer,Private sector,Self-employed,http://www.europarl.europa.eu/ep-dif/96719_30-03-2012.pdf,,,No info found,,,,,,,
108329,Andrea ZANONI,Italy,S&D,Democratic Party,European Parliament,MEP,"Member of the Regional Council of Veneto. Andrea Zanoni is president of the Circle Ecodem (Ecologists and Democrats) in Treviso, President of LAC - League for the Abolition of Hunting of the Veneto and of the environmental Paeseambiente.",Elected office & public sector,Elected office,no,,http://www.consiglioveneto.it/crvportal/pageContainer.jsp;jsessionid=F1EFBE5DAD0D4EBC7888BA3ECCAF8A63?n=5&p=&c=1&e=12&t=&key=1254,Presidente Lega Abbolizione Caccia (LAC) Sez. Veneto 0Consigliere Communale die Paese (TV) giugno 2009 - novembre 20110Consigliere provinciale di Treviso maggio - novembre 20110Dirigente Presso il Gruppo Consigliare IdV a Venezia maggio 2011 - novembre 20111Dipendente Benetton Group SpA fino maggio 20101Presidente Lega Abbolizione Caccia (LAC) Sez. Veneto 0Consigliere Communale die Paese (TV) giugno 2009 - novembre 20110Consigliere provinciale di Treviso maggio - novembre 20110Dirigente Presso il Gruppo Consigliare IdV a Venezia maggio 2011 - novembre 20111,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/108329_04-02-2013.pdf,,DP,,,,,,,,
28255,Andreas MÖLZER,Austria,NI,Freedom Party,European Parliament,MEP,Editor for Zur Zeit,Private Sector,Media,no,,http://zurzeit.eu/seiten/impressum_1?SID=686c2689a0cb05c09edac96cbec0fd8f3d9d936a,,"Head redactor at W3-Verlags, Columnist at Kronenzeitung ",Private sector,Media,http://www.europarl.europa.eu/ep-dif/28255_01-02-2012.PDF,,,,,,,,,,
118144,Andreas PITSILLIDES,Cyprus,EPP,Democratic Rally,European Parliament,MEP,Theologian ,Others,Public sector,no,,https://nl.wikipedia.org/wiki/Andreas_Pitsillides,HEAD RESEARCHER AT KYKKOS CULTURAL CENTRE1MP (CYPRUS)2,Head of research for Kykkos Cultura centre,Academia,Academic,http://www.europarl.europa.eu/ep-dif/118144_03-03-2013.pdf,,,,,,,,,,
96989,Andrés PERELLÓ RODRÍGUEZ,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,"lawyer, writer",Private Sector,Law firms,no,,https://www.facebook.com/andres.perellorodriguez/about?section=education&pnref=about,Senador2Diputado Regional200000000000000000000Consejero AIGMA0000000000000000000000000000000000,unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/96989_20-03-2012.pdf,,PSOE,,,,,,,,
4514,Andrew DUFF,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP,Writer/Blogger. Advisory Board member of Transparency International EU. Senior Advisor at European Policy Centre.,NGOs,NGOs,yes ,,http://www.epc.eu/team.php?dept_id=7,"Director of Federal Trust for Education and Research2000000000000000000000000000000President of Union of European federalists0Member, European Council of Foreign Relations0Member, steering group, Spinelli Group000000000000000000000000000000000000Car park pass, London City Airport00","Director of Federal Trust for Education and Research, President of Union of European federalists, Member, European Council of Foreign Relations, Member of the steering group Spinelli Group",NGOs,NGOs ,http://www.europarl.europa.eu/ep-dif/4514_31-01-2012.PDF,,LibDem,Need to verify classification ,,,,,,,
96749,Andrew Henry William BRONS,United Kingdom,NI,British Democratic Party,European Parliament,MEP,President of British Democratic Party,Elected office & public sector,Political parties,no,,http://www.dailystormer.com/british-renaissance-jez-turner-and-andrew-brons/,Lecturer (part time) Harrogate college1Tutor (part time) Harrogate college1000000000 nothing to declare0000000000 nothing to declare000000000000000000 nothing to declare0000000000 nothing to declare000000000000000 nothing to declare00000Pension teachers £15000-16000 per yearPension Leeds Metropolitan university £1700 per yearPension Prudential assurance £408 per year,Lecturer at Harrogate College,Academia,Academic,http://www.europarl.europa.eu/ep-dif/96749_19-03-2012.pdf,,BDP,Really not sure that is his job. Can you look again?,,,,,,,
97016,Angelika WERTHMANN,Austria,NI,Hans-Peter Martin's List,European Parliament,MEP,Unknown,Unknown,Unknown,Unknown,,http://www.wileurope.org/Sys/PublicProfile/33267225/4004500,Pädagogin2,"President ""Parmenion""",Private Sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/rev/97016_28-05-2013_Rev2.pdf,,,Check this. Job?,,,,,,,
28227,Anja WEISGERBER,Germany,EPP,Christian Social Union,European Parliament,MEP,Elected official in the Bundestag.  ,Elected office & public sector,Elected office,no,2,http://www.gsk.de/en/person/anja.weisgerber/,Attorney,Attorney,Private Sector,Self-employed,http://www.europarl.europa.eu/ep-dif/28227_11-03-2012.pdf,,,,,,,,,,
28227,Anja WEISGERBER,Germany,EPP,Christian Social Union,European Parliament,MEP,Lawyer in the firm GSK Stockman ,Private Sector,Law firms,no,,http://www.gsk.de/en/person/anja.weisgerber/,Attorney,Attorney,Private Sector,Self-employed,http://www.europarl.europa.eu/ep-dif/28227_11-03-2012.pdf,,,,,,,,,,
28125,Anna IBRISAGIC,Sweden,EPP,Moderate Party,European Parliament,MEP,Unknown,Unknown,Unknown,Unknown,,https://www.facebook.com/anna.ibrisagic,,MP Swedish Parliament ,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/28125_30-01-2012.PDF,,M,"Shows on FB that she went to the TATRA 2016 summit ""shaping the future of Europe"" This person is clearly in some form of lobbying activity",,,,,,,
96664,Anna ROSBACH,Denmark,EFDD,People's Party,European Parliament,MEP,Founded a party in 2014 which got dissolved in 2015. Most likely retired (born in 1947),Others,Retired,no,,https://da.wikipedia.org/wiki/Anna_Rosbach_Andersen,Politisk rådgiver i UEN-gruppen i EP (political advisor within the UEN group in the EP)3Regionsmedlem for region hovedstaden 2005-2009 (member of local government)100000000000000000000Formand for Waste Free Oceans Europe (chairman of Waste Free Oceans Europe)No salaryBestyrelsesmedlem i De Samvirkende Vejlaug Galgebjrggård (boardmember)No salary0000000000000000000000000000000000000000,"political advisor within the UEN group in the EP, member of local government, Chairman of Free Waste Ocean Europe ",Elected office and public sector,Public sector,http://www.europarl.europa.eu/ep-dif/rev/96664_20-12-2011_Rev2.pdf,,,,,,,,,,
96914,Anne DELVAUX,Belgium,EPP,Humanist Democratic Centre,European Parliament,MEP,Personal coach ,Private Sector,Self-employed,no,,http://www.adcoaching.be/mon-profil/,,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/96914_28-03-2012.pdf,,cdH,,,,,,,,
4440,Anne E. JENSEN,Denmark,ALDE,"Left, Liberal Party",European Parliament,MEP,Left the European Movement in 2015. Most likely retired,Others,Retired,no,,https://da.wikipedia.org/wiki/Anne_E._Jensen,Chefredaktør Berlingske Tidende3Bestyrelsesmedlem i Nordea Invest2Kommunalbestyrelsen i Kalundborg Kommune1,"Editor Berlinske Tidende, Director of Nordea Invest, Member of the Municipal Council of Kalundborg ",Private sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/4440_15-03-2012.PDF,,,,,,,,,,
123816,Annette KOEWIUS,Germany,EPP,Christian Democrats Union,European Parliament,MEP,Chair of the Women's Union Kreisverband Mettmann,NGOs,NGOs,no,,http://www.frauen-union-kreismettmann.de/,Headmaster,Headmaster,Academia,Academic,http://www.europarl.europa.eu/ep-dif/123816_12-03-2014.pdf,,CDU,,,,,,,,
39317,Anni PODIMATA,Greece,S&D,Socialist Movement,European Parliament,MEP, Consultancies on Communication and EU Affairs/Energy Intensive Industry,Private Sector,Consultancies,yes ,2,https://www.linkedin.com/in/anni-podimata-3b151196,ΔΗΜΟΣΙΟΓΡΑΦΟΣ (ΜΕΧΡΙ ΣΕΠΤΕΜΒΡΙΟ 2007)3ΜΕΛΟΣ ΤΟΥ ΕΥΡΩΠΑΙΚΟΥ ΚΟΙΝΟΒΟΥΛΙΟΥΑΝΤΙΠΡΟΕΔΡΟΣ EUFORES (EUROPEAN FORUM FOR RENEWABLE ENERGY SOURCES),"Journalist, member of EUFORES (EUROPEAN FORUM FOR RENEWABLE ENERGY SOURCES)",Private sector,Media,http://www.europarl.europa.eu/ep-dif/39317_29-03-2012.pdf,,,No website and no name of the Consultancies in question ,,,,,,,
39317,Anni PODIMATA,Greece,S&D,Socialist Movement,European Parliament,MEP,Journalist,Private Sector,Media,no,,https://www.linkedin.com/in/anni-podimata-3b151196,ΔΗΜΟΣΙΟΓΡΑΦΟΣ (ΜΕΧΡΙ ΣΕΠΤΕΜΒΡΙΟ 2007)3ΜΕΛΟΣ ΤΟΥ ΕΥΡΩΠΑΙΚΟΥ ΚΟΙΝΟΒΟΥΛΙΟΥΑΝΤΙΠΡΟΕΔΡΟΣ EUFORES (EUROPEAN FORUM FOR RENEWABLE ENERGY SOURCES),"Journalist, member of EUFORES (EUROPEAN FORUM FOR RENEWABLE ENERGY SOURCES)",Private sector,Media,http://www.europarl.europa.eu/ep-dif/39317_29-03-2012.pdf,,,No website and no name of the Consultancies in question ,,,,,,,
97050,Antigoni PAPADOPOULOU,Cyprus,S&D,Democratic Party,European Parliament,MEP,President of the women’s Organisation of DIKO (GODIK),NGOs,NGOs,no,,https://en.wikipedia.org/wiki/Antigoni_Papadopoulou,"ΕΘΝΙΚΟΣ ΒΟΥΛΕΥΤΗΣ ΚΥΠΡΟΥ2ΠΡΟΕΔΡΟΣ ""ΓΕΔΗΠ""ΠΡΟΕΔΡΟΣ ""ΠΑΡΜΕΝΙΩΝΑ""","European Commission, Journalist",Elected office and public sector,Public sector,http://www.europarl.europa.eu/ep-dif/rev/97050_27-02-2012_Rev2.pdf,,,,,,,,,,
28295,Antolín SÁNCHEZ PRESEDO,Spain,S&D,Spanish Socialist Workers' Party,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,https://es.wikipedia.org/wiki/Antol%C3%ADn_S%C3%A1nchez_Presedo,Abogado4Patronato fundación celso emilio ferreiro0Patronato Fundación Celso Emilio Ferreiro0,Lawyer for the Trust Foundation Celsio Emilio,Private sector,Law firms,http://www.europarl.europa.eu/ep-dif/28295_28-03-2012.pdf,,PSOE,,,,,,,,
97193,Antonello ANTINORO,Italy,EPP,Union of Christian and Centre Democrats,European Parliament,MEP,Currently prosecuted for vote-trading in exchange for money in the regional elections in 2008. ,Unknown,Unknown,Unknown,,https://it.wikipedia.org/wiki/Antonello_Antinoro,Deputato Regionale00000000,Trader,Private Sector,Companies and Groups ,http://www.europarl.europa.eu/ep-dif/rev/97193_20-03-2012_Rev2.pdf,https://goo.gl/vYpJXb,UDC,Currently on trial. No decision has been taken,,,,,,,
96733,Antonio CANCIAN,Italy,EPP,Chistian Democrats ,European Parliament,MEP,"President and CEO, Rete Autostrade Mediterranee",Elected office & public sector,Public sector,no,,https://www.linkedin.com/in/antoniocancian,,Unknown,Unknown,Unknown,http://www.europarl.europa.eu/ep-dif/rev/96733_29-03-2012_Rev2.pdf,,,,,,,,,,
96975,António Fernando CORREIA DE CAMPOS,Portugal,S&D,Socialist Party,European Parliament,MEP,Journalist,Private Sector,Media,no,,,"Ministro de saude do governo portugues (ate Jan08)3Professor universitario lejanos a Out08 3Presidente do instituto nacional de administraçao (2008 a Julho 2009)30Columnista semanal no jornal ""público""2Conselho de amigos funaçao joanquim dos santos 0Presidente ass. Geral Bombeiros Voluntarios Almocaceme 0Presidente da Ass. Geral do Serv Utiliçao comum dos hospitais0Publicaçao de livros1000",Manager Unileite - Deputado Regional ,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/96975_13-03-2012.pdf,,,,,,,,,,
28338,Antonio MASIP HIDALGO,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,Unknown,Unknown,Unknown,Unknown,,,ABOGACÍA30000000000000000000000000000000000000000000000000000000000000000,MEP,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/rev/28338_02-03-2012_Rev2.pdf,,,,,,,,,,
34234,Antonyia PARVANOVA,Bulgaria,ALDE,National Movement for Stability and Progress,European Parliament,MEP,Co-president to the Fit for Work Europe Coalition.,Private Sector,Business associations,no,2,http://www.fitforworkeurope.eu/About/about.htm,,MP of the Bulgarian national assembly ,Elected office and public sector,Elected office,http://www.europarl.europa.eu/ep-dif/34234_26-03-2012.pdf,,,,,,,,,,
