host	date	location	title	guestid	guestname	cabinet
Gints Freimanis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	unregistered	Karl Cox, Vice President, Global Public Affairs, Oracle Cooperation	Cabinet members of Vice-President Valdis Dombrovskis
Gints Freimanis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	7721359944-96	IBM Corporation	Cabinet members of Vice-President Valdis Dombrovskis
Gints Freimanis	11/12/2014	AmCham EU office, on Avenue des Arts 53, 1000 Brussels	Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’	5265780509-97	AmCham	Cabinet members of Vice-President Valdis Dombrovskis
Tuure Taneli Lahti	11/12/2014	Berlaymont 10/021	Topical EU matters	unregistered	Confederation of Finnish Industries, EK	Cabinet members of Vice-President Valdis Dombrovskis
Tuure Taneli Lahti	11/12/2014	Brussels	Topical EU matters	1274604847-34	Confederation of Finnish Industries EK	Cabinet members of Vice-President Valdis Dombrovskis
Massimo Suardi Jan Ceyssens	03/12/2014	Brussels	Finanztransaktionssteuer	0764199368-97	Bundesverband Deutscher Banken	Cabinet members of Vice-President Valdis Dombrovskis
Gints Freimanis Elina Melngaile	02/12/2014	Brussels European Commission	New Commission and means for European industry	unregistered	Graham Russell - CEMEX Baltics, Finland and Russia	Cabinet members of Vice-President Valdis Dombrovskis
Gints Freimanis Elina Melngaile	02/12/2014	Brussels European Commission	New Commission and means for European industry	046522111711-44	Martin Casey - CEMEX UK 	Cabinet members of Vice-President Valdis Dombrovskis
Jan Ceyssens	02/12/2014	Brussels- European Commission	European consumer protection in the field of investor disclosure	unregistered	Investment Management Association (IMA) and Fleishman-Hillard 	Cabinet members of Vice-President Valdis Dombrovskis
Massimo Suardi	01/12/2014	Brussels	presentation of SAREB actitivies	900180415029-67	SOCIEDAD GESTORA DE ACTIVOS PROCEDENTES DE LA REESTRUCTURACIÓN BANCARIA	Cabinet members of Vice-President Valdis Dombrovskis
Vice-President Jyrki Katainen	13/02/2015	Brussels	Green growth and Circular Economy	70309834043-10	Green 10	
Vice-President Jyrki Katainen	12/02/2015	Brussels	Investment Plan	4016736872-59	General Electric	
Vice-President Jyrki Katainen	09/02/2015	Brussels	Investments and competitiveness	007453915616-85	Inmarsat	
Vice-President Jyrki Katainen	04/02/2015	Brussels	Digital Single Market	381805014604-45	TeliaSonera	
Vice-President Jyrki Katainen	04/02/2015	Brussels	Regulatory framework for automotive	0649790813-47	Association des Constructeurs Européens d&#039;Automobiles	
Vice-President Jyrki Katainen	03/02/2015	Brussels	Bioeconomy	1298286943-59	EuropaBio	
Vice-President Jyrki Katainen	03/02/2015	Brussels	Bioeconomy	unregistered	Grzegorz Radziejewski	
Vice-President Jyrki Katainen	03/02/2015	Brussels	ICT investments	395485815776-81	ChinaEU	
Vice-President Jyrki Katainen	28/01/2015	Brussels	Digital Single Market	899605715295-29	Rovio	
Vice-President Jyrki Katainen	28/01/2015	Brussels	Energy Policy	759978215122-11	Gasum Oy	
Vice-President Jyrki Katainen	28/01/2015	Brussels	Energy Policy	unregistered	Grzegorz Radziejewski	
Vice-President Jyrki Katainen	27/01/2015	Brussels	Digital Single Market	35167875358-33	Nokia	
Vice-President Jyrki Katainen	23/01/2015	Davos, Switzerland	Investment plan	48714858158-06	Institute of International Finance	
Vice-President Jyrki Katainen	23/01/2015	Davos, Switzerland	Investment plan	090350412968-04	BANCO BILBAO VIZCAYA ARGENTARIA	
Vice-President Jyrki Katainen	23/01/2015	Davos, Switzerland	Investment plan	0801162959-21	Microsoft	
Vice-President Jyrki Katainen	23/01/2015	Davos, Switzerland	Investment plan	00919034091-89	BT Group plc	
Vice-President Jyrki Katainen	23/01/2015	Davos, Switzerland	Investment plan	73725676990-18	Confederation of British Industry	
Vice-President Jyrki Katainen	23/01/2015	Davos, Switzerland	Investment plan	53891615036-88	Bank of America	
Vice-President Jyrki Katainen	12/01/2015	Brussels	Investment initiative	118451215540-75	Meridiam 	
Vice-President Jyrki Katainen	12/01/2015	Brussels	Investment initiative	unregistered	Miguel Gil Tertre	
Vice-President Jyrki Katainen	09/01/2015	Brussels	Industrial policy and metals industry	61650796093-48	Eurometaux	
Vice-President Jyrki Katainen	15/12/2014	Bucharest	Investment Initiative Roadshow	986174915223-79	MICROELECTRONICA S.A. 	
Vice-President Jyrki Katainen	15/12/2014	Bucharest	Investment Initiative Roadshow	unregistered	Aura Salla	
Vice-President Jyrki Katainen	13/12/2014	Janakkala	Investment initiative	35167875358-33	Nokia	
Vice-President Jyrki Katainen	12/12/2014	Fiskars	Investment initiative	602839415178-51	Outotec Oyj	
Vice-President Jyrki Katainen	11/12/2014	Brussels	Industrial Policy	1274604847-34	Confederation of Finnish Industries EK 	
Vice-President Jyrki Katainen	11/12/2014	Brussels	Industrial Policy	unregistered	Aura Salla	
Vice-President Jyrki Katainen	10/12/2014	Brussels	Investments and innovations in the digital sector	90142503473-81	Vodafone Group	
Vice-President Jyrki Katainen	10/12/2014	Brussels	Investments and innovations in the digital sector	unregistered	Heidi Jern	
Vice-President Jyrki Katainen	04/12/2014	Brussels	Investment initiative	unregistered	Heidi Jern	
Vice-President Jyrki Katainen	04/12/2014	Brussels	Investment initiative	56039441735-48	Maa- ja metsätaloustuottajain Keskusliitto – Central Union of Agricultural Producers and Forest Owners	
Vice-President Jyrki Katainen	03/12/2014	Brussels	SME Policy	07265875082-72	Suomen Yrittäjät ry 	
Vice-President Jyrki Katainen	03/12/2014	Brussels	SME Policy	unregistered	Aura Salla	
Vice-President Jyrki Katainen	02/12/2014	Brussels	Finnish Labour Unions	98086919699-94	Akava ry	
Vice-President Jyrki Katainen	01/12/2014	Brussels	Climate report, renewable energy	661245915266-39	Finnish Innovation Fund Sitra 	
Hilde Hardeman	11/03/2015	Brussels	Competitiveness	409256516428-39	EFQM European Foundation for Quality Management	Cabinet members of Vice-President Jyrki Katainen
Edward Bannerman	26/02/2015	Brussels	Investment plan	25487567824-45	European Round Table of Industrialists	Cabinet members of Vice-President Jyrki Katainen
Grzegorz Radziejewski	26/02/2015	Brussels	Energy Policy	41126912590-71	AREVA SA 	Cabinet members of Vice-President Jyrki Katainen
Aura Salla	25/02/2015	Brussels	Industry Policy	39705603497-38	Federation of Finnish Technology Industries	Cabinet members of Vice-President Jyrki Katainen
Heidi Jern	25/02/2015	Brussels	Circular Economy	00162715418-92	Plastics Recyclers Europe 	Cabinet members of Vice-President Jyrki Katainen
Heidi Jern	25/02/2015	Brussels	Circular Economy	93255296152-29	European Plastics Converters 	Cabinet members of Vice-President Jyrki Katainen
Heidi Jern	25/02/2015	Brussels	Circular Economy	764633015511-42	EuRIC 	Cabinet members of Vice-President Jyrki Katainen
Heidi Jern	25/02/2015	Brussels	Agriculture policy and investments	42967152383-63	European Dairy Association	Cabinet members of Vice-President Jyrki Katainen
Aura Salla	25/02/2015	Brussels	European Competitiveness	524686116124-73	Atlantic Council	Cabinet members of Vice-President Jyrki Katainen
Aura Salla	25/02/2015	Brussels	Lifelong Learning	3334854676-12	European Association for the Education of Adults	Cabinet members of Vice-President Jyrki Katainen
Grzegorz Radziejewski	24/02/2015	Brussels	Energy Policy	unregistered	UPM-Kymmene Oyj (UPM) 	Cabinet members of Vice-President Jyrki Katainen
Valérie Herzberg	24/02/2015	Brussels	Capital markets union	688571314594-79	Institutional Limited Partners Association	Cabinet members of Vice-President Jyrki Katainen
Heidi Jern	24/02/2015	Brussels	Circular Economy	75395701551-94	Municipal Waste Europe	Cabinet members of Vice-President Jyrki Katainen
Juho Romakkaniemi	24/02/2015	Brussels	Capital markets union	unregistered	La Fédération Bancaire Française	Cabinet members of Vice-President Jyrki Katainen
Edward Bannerman	23/02/2015	Brussels	Trade	unregistered	UNIFE - the European Rail Industry	Cabinet members of Vice-President Jyrki Katainen
Valérie Herzberg	19/02/2015	Brussels	Capital markets union	76648765687-29	NASDAQ	Cabinet members of Vice-President Jyrki Katainen
Aura Salla	18/02/2015	Brussels	Pharmaceutical Industry	48325781850-28	European Generic Medicines Association	Cabinet members of Vice-President Jyrki Katainen
Aura Salla	18/02/2015	Brussels	Lifelong Learning	74923516160-01	EUCIS-LLL	Cabinet members of Vice-President Jyrki Katainen
Valérie Herzberg	16/02/2015	Brussels	Securitisation	53891615036-88	Bank of America	Cabinet members of Vice-President Jyrki Katainen
Edward Bannerman	12/02/2015	Brussels	Priorities of the new Commission	89092554724-82	Trans-Atlantic Business Council	Cabinet members of Vice-President Jyrki Katainen
Edward Bannerman	12/02/2015	Brussels	Investment Plan	4016736872-59	General Electric	Cabinet members of Vice-President Jyrki Katainen
Grzegorz Radziejewski	12/02/2015	Brussels	Industrial Policy	5189667783-94	Zentralverband des Deutschen Handwerks e.V.	Cabinet members of Vice-President Jyrki Katainen
Heidi Jern	11/02/2015	Brussels	Investments and competitiveness	00358442856-45	Qualcomm	Cabinet members of Vice-President Jyrki Katainen
Edward Bannerman	11/02/2015	Brussels	Business Growth Fund and SME finance	001866415031-87	HSBC HOLDINGS	Cabinet members of Vice-President Jyrki Katainen
Juho Romakkaniemi	11/02/2015	Brussels	Investment plan	34424201320-69	Accenture	Cabinet members of Vice-President Jyrki Katainen
Edward Bannerman	09/02/2015	Brussels	preparatory meeting for GE - VP meeting on 12/2	4016736872-59	General Electric	Cabinet members of Vice-President Jyrki Katainen
Edward Bannerman	09/02/2015	Brussels	Priorities of the new Commission	31200871765-41	Handelsverband Deutschland	Cabinet members of Vice-President Jyrki Katainen
Edward Bannerman	09/02/2015	Brussels	Priorities of the new Commission	650035215812-91	EDEKA Zentrale AG &amp; Co. KG	Cabinet members of Vice-President Jyrki Katainen
Edward Bannerman	09/02/2015	Brussels	Priorities of the new Commission	13480556813-27	Kaufland	Cabinet members of Vice-President Jyrki Katainen
Edward Bannerman	09/02/2015	Brussels	Priorities of the new Commission	695563913580-18	REWE Zentral	Cabinet members of Vice-President Jyrki Katainen
Juho Romakkaniemi	06/02/2015	Brussels	Presentation of the work of the Commission	549564815917-64	VR Group	Cabinet members of Vice-President Jyrki Katainen
Grzegorz Radziejewski	06/02/2015	Brussels	Investment Initiative	81995781088-41	APCO Worldwide 	Cabinet members of Vice-President Jyrki Katainen
Aura Salla	05/02/2015	Brussels	ICT, growth and competitiveness	381805014604-45	TeliaSonera	Cabinet members of Vice-President Jyrki Katainen
Grzegorz Radziejewski	05/02/2015	Brussels	Tax Policy	1274604847-34	Confederation of Finnish Industries EK	Cabinet members of Vice-President Jyrki Katainen
Heidi Jern	04/02/2015	Brussels	Circular Economy	unregistered	Suez Environment	Cabinet members of Vice-President Jyrki Katainen
Juho Romakkaniemi	04/02/2015	Brussels	Vanguard initiative, regional funds and FC Regulation	171385315838-88	Tampere Region EU	Cabinet members of Vice-President Jyrki Katainen
Juho Romakkaniemi	04/02/2015	Brussels	Vanguard initiative, regional funds and FC Regulation	264715410758-45	Skane European Office	Cabinet members of Vice-President Jyrki Katainen
Grzegorz Radziejewski	04/02/2015	Brussels	Industrial Policy	23020671103-67	Cambre Associates	Cabinet members of Vice-President Jyrki Katainen
Juho Romakkaniemi	04/02/2015	Brussels	Investment initiative and single market agenda	84973761187-60	Eurocommerce	Cabinet members of Vice-President Jyrki Katainen
Heidi Jern	04/02/2015	Brussels	Digital Single Market	unregistered	New Street Research	Cabinet members of Vice-President Jyrki Katainen
Edward Bannerman	04/02/2015	Brussels	EU-China cooperation on sustainable development	07783117686-61	E3G	Cabinet members of Vice-President Jyrki Katainen
Aura Salla	04/02/2015	Brussels	Janssen EMEA	37955905654-37	CELGENE	Cabinet members of Vice-President Jyrki Katainen
Aura Salla	04/02/2015	Brussels	Pharmaceutical Industry	unregistered	Janssen EMEA 	Cabinet members of Vice-President Jyrki Katainen
Miguel Gil Tertre	03/02/2015	Brussels	Investment Initiative	061584915271-94	Eurasia Group Ltd	Cabinet members of Vice-President Jyrki Katainen
Valérie Herzberg	03/02/2015	Brussels	EU covered bonds market	24967486965-09	EMF-ECBC	Cabinet members of Vice-President Jyrki Katainen
Aura Salla	03/02/2015	Brussels	Paper Industry	72279144480-58	Confederation of European Paper Industries	Cabinet members of Vice-President Jyrki Katainen
Aura Salla	03/02/2015	Brussels	Investment Initiative	661245915266-39	Finnish Innovation Fund Sitra	Cabinet members of Vice-President Jyrki Katainen
Edward Bannerman	03/02/2015	Brussels	ICT investments	395485815776-81	ChinaEU	Cabinet members of Vice-President Jyrki Katainen
Edward Bannerman	03/02/2015	Brussels	Priorities of the new commission	339569615567-89	European Council on Foreign Relations	Cabinet members of Vice-President Jyrki Katainen
Miguel Gil Tertre	02/02/2015	Brussels	Investment Initiative	41126912590-71	AREVA SA	Cabinet members of Vice-President Jyrki Katainen
